iter	Passed	Remaining
0	137	137845
1	141	70707
2	145	48301
3	149	37181
4	152	30323
5	155	25716
6	158	22429
7	161	19975
8	163	17996
9	165	16429
10	168	15122
11	170	14017
12	172	13073
13	174	12267
14	175	11551
15	177	10930
16	179	10379
17	181	9888
18	183	9450
19	184	9053
20	186	8692
21	188	8367
22	190	8071
23	191	7795
24	193	7538
25	195	7308
26	196	7096
27	198	6897
28	200	6711
29	202	6537
30	203	6372
31	205	6222
32	207	6082
33	209	5946
34	211	5822
35	212	5700
36	214	5584
37	216	5483
38	218	5380
39	219	5278
40	221	5186
41	223	5098
42	225	5016
43	227	4936
44	228	4856
45	230	4780
46	232	4709
47	233	4639
48	235	4572
49	237	4510
50	239	4448
51	240	4389
52	242	4339
53	244	4285
54	246	4234
55	248	4183
56	249	4135
57	251	4088
58	253	4041
59	255	3999
60	257	3958
61	258	3917
62	260	3875
63	262	3838
64	264	3798
65	265	3760
66	267	3723
67	269	3688
68	270	3655
69	272	3623
70	274	3589
71	276	3563
72	278	3534
73	279	3503
74	281	3470
75	283	3443
76	284	3415
77	286	3388
78	288	3362
79	290	3338
80	291	3311
81	293	3285
82	295	3261
83	296	3237
84	298	3214
85	300	3192
86	302	3172
87	304	3150
88	305	3130
89	307	3112
90	309	3093
91	311	3073
92	313	3053
93	314	3035
94	316	3019
95	319	3006
96	321	2995
97	324	2984
98	326	2974
99	329	2962
100	331	2949
101	333	2936
102	335	2920
103	337	2903
104	338	2889
105	340	2873
106	342	2858
107	344	2846
108	346	2833
109	348	2818
110	350	2804
111	351	2789
112	353	2778
113	355	2765
114	357	2753
115	359	2740
116	361	2726
117	362	2712
118	364	2699
119	366	2687
120	368	2673
121	369	2660
122	371	2647
123	373	2635
124	374	2622
125	376	2609
126	377	2597
127	379	2585
128	381	2572
129	382	2559
130	384	2547
131	385	2537
132	387	2527
133	389	2517
134	391	2506
135	392	2495
136	394	2485
137	396	2475
138	397	2465
139	399	2454
140	401	2444
141	403	2435
142	405	2427
143	407	2419
144	408	2410
145	410	2401
146	412	2391
147	413	2381
148	415	2374
149	417	2365
150	419	2358
151	421	2349
152	422	2340
153	424	2331
154	426	2323
155	428	2315
156	429	2307
157	431	2300
158	433	2290
159	434	2282
160	436	2272
161	437	2265
162	439	2257
163	441	2248
164	442	2239
165	444	2231
166	445	2222
167	447	2214
168	448	2207
169	450	2199
170	452	2192
171	453	2184
172	455	2176
173	456	2168
174	458	2161
175	460	2154
176	461	2147
177	463	2139
178	465	2133
179	466	2126
180	468	2119
181	469	2112
182	471	2105
183	473	2098
184	474	2090
185	476	2084
186	477	2077
187	479	2070
188	481	2064
189	482	2057
190	484	2052
191	486	2045
192	487	2038
193	489	2033
194	491	2027
195	492	2021
196	494	2015
197	495	2009
198	497	2004
199	499	1997
200	501	1991
201	502	1984
202	504	1979
203	505	1972
204	506	1965
205	508	1959
206	510	1953
207	511	1948
208	513	1942
209	514	1936
210	516	1930
211	517	1925
212	519	1919
213	521	1914
214	522	1908
215	524	1903
216	525	1897
217	527	1891
218	528	1885
219	530	1880
220	531	1874
221	533	1868
222	534	1863
223	536	1858
224	538	1853
225	540	1849
226	541	1844
227	544	1843
228	546	1839
229	548	1836
230	550	1831
231	551	1826
232	553	1822
233	555	1817
234	556	1812
235	558	1807
236	559	1801
237	561	1796
238	562	1792
239	564	1787
240	566	1782
241	567	1777
242	569	1773
243	570	1768
244	571	1762
245	573	1757
246	574	1752
247	576	1748
248	578	1743
249	579	1738
250	581	1734
251	583	1730
252	584	1726
253	587	1724
254	588	1720
255	590	1716
256	592	1714
257	594	1709
258	596	1705
259	597	1701
260	599	1697
261	601	1693
262	602	1689
263	604	1685
264	606	1680
265	607	1676
266	609	1672
267	610	1668
268	612	1663
269	613	1659
270	615	1655
271	617	1651
272	618	1647
273	620	1643
274	621	1639
275	623	1636
276	625	1632
277	626	1628
278	628	1624
279	630	1620
280	631	1616
281	633	1612
282	634	1608
283	636	1604
284	638	1600
285	639	1596
286	641	1593
287	642	1589
288	644	1586
289	646	1582
290	648	1578
291	649	1574
292	651	1571
293	652	1567
294	654	1563
295	655	1560
296	657	1556
297	659	1552
298	660	1549
299	662	1545
300	663	1541
301	665	1538
302	667	1534
303	668	1531
304	670	1527
305	672	1524
306	673	1520
307	675	1517
308	676	1512
309	678	1509
310	679	1506
311	681	1502
312	683	1499
313	685	1496
314	686	1493
315	688	1489
316	689	1486
317	691	1483
318	693	1480
319	695	1477
320	696	1473
321	698	1471
322	700	1467
323	701	1464
324	703	1462
325	705	1459
326	707	1456
327	709	1453
328	711	1450
329	712	1447
330	714	1443
331	716	1440
332	717	1437
333	718	1433
334	720	1429
335	721	1426
336	723	1423
337	725	1420
338	726	1417
339	728	1414
340	730	1411
341	731	1407
342	733	1404
343	734	1400
344	736	1397
345	737	1394
346	740	1393
347	741	1389
348	743	1386
349	744	1383
350	746	1380
351	748	1377
352	750	1374
353	751	1371
354	753	1368
355	754	1365
356	756	1362
357	757	1359
358	759	1356
359	761	1353
360	762	1350
361	763	1346
362	765	1343
363	767	1340
364	768	1336
365	769	1333
366	771	1330
367	772	1327
368	774	1324
369	776	1321
370	777	1318
371	779	1316
372	781	1313
373	782	1310
374	784	1307
375	785	1304
376	788	1302
377	789	1299
378	791	1296
379	792	1293
380	794	1290
381	796	1287
382	797	1285
383	799	1282
384	801	1279
385	802	1276
386	804	1273
387	806	1271
388	807	1268
389	809	1265
390	810	1262
391	812	1260
392	814	1257
393	815	1254
394	817	1251
395	819	1249
396	820	1246
397	822	1244
398	824	1242
399	826	1239
400	828	1237
401	830	1235
402	832	1233
403	834	1230
404	836	1228
405	837	1226
406	839	1223
407	841	1220
408	843	1218
409	845	1216
410	847	1214
411	849	1211
412	850	1209
413	852	1206
414	854	1204
415	856	1202
416	858	1199
